"['Qh']:[['Ks']]:[0, 2, 3, 1],[]","[0.0, 1.0]"
"['As']:[['Ks']]:[0, 2, 3, 1],[0]","[0.5, 0.5]"
"['Qh']:[['Ks']]:[0, 2, 3, 1],[0, 1]","[0.0, 1.0]"
"['As']:[['Ks']]:[0, 2, 3, 1],[1]","[0.5, 0.5]"
"['Qh']:[['Ks']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['As']:[['Ks']]:[2, 2],[0]","[0.333, 0.333, 0.333]"
"['Qh']:[['Ks']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['As']:[['Ks']]:[2, 2],[1]","[0.0, 0.0, 1.0]"
"['As']:[['Ks']]:[2, 2],[2]","[0.0, 1.0]"
"['As']:[['Ks']]:[3, 3],[0]","[0.5, 0.5]"
"['As']:[['Ks']]:[3, 3],[1]","[0.0, 1.0]"
"['Ah']:[]:[0, 2],[]","[0.0, 1.0, 0.0, 0.0, 0.0]"
"['Ah']:[['As']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Ks']:[['As']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Ah']:[['As']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ks']:[['As']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Ks']:[['As']]:[0, 2, 2],[1]","[0.0, 0.5, 0.5]"
"['Ah']:[['As']]:[0, 2, 2],[1, 2]","[1.0, 0.0]"
"['Ks']:[['As']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['Ah']:[['As']]:[0, 2, 2],[0, 2]","[1.0, 0.0]"
"['Ks']:[]:[0, 2, 3],[]","[0.333, 0.333, 0.333]"
"['Ah']:[]:[0, 2, 3, 2],[]","[0.0, 1.0]"
"['Ks']:[]:[0, 2, 4],[]","[0.5, 0.5]"
"['Ah']:[]:[3, 4],[]","[0.0, 1.0]"
"['Ks']:[['Kh']]:[0, 2, 2],[]","[0.0, 0.053, 0.947]"
"['Ks']:[['Kh']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ah']:[['Kh']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Ks']:[]:[0, 2, 3, 2],[]","[0.0, 1.0]"
"['Ks']:[['As']]:[0, 0],[]","[0.0, 0.0, 0.0, 1.0]"
"['Ah']:[['As']]:[0, 0],[3]","[0.0, 0.333, 0.0, 0.333, 0.333]"
"['Ks']:[['As']]:[0, 0],[3, 4]","[0.0, 1.0]"
"['Ks']:[]:[0, 4],[]","[0.0, 1.0]"
"['As']:[['Qs']]:[2, 2],[]","[0.349, 0.211, 0.441]"
"['Kh']:[['Qs']]:[2, 2],[0]","[1.0, 0.0, 0.0]"
"['Kh']:[['Qs']]:[2, 2],[1]","[1.0, 0.0, 0.0]"
"['Kh']:[['Qs']]:[2, 2],[2]","[1.0, 0.0]"
"['As']:[]:[3, 4],[]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[3, 3],[]","[0.0, 1.0]"
"['Ks']:[['Qh']]:[3, 3],[0]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[3, 3],[0, 1]","[1.0, 0.0]"
"['Ah']:[['Qh']]:[0, 0],[]","[0.0, 1.0, 0.0, 0.0]"
"['Ks']:[['Qh']]:[0, 0],[0]","[0.25, 0.25, 0.25, 0.25]"
"['Ah']:[['Qh']]:[0, 0],[0, 4]","[0.0, 1.0]"
"['Ks']:[['Qh']]:[0, 0],[2]","[0.846, 0.077, 0.077, 0.0, 0.0]"
"['Ks']:[['Qh']]:[0, 0],[3]","[0.097, 0.0, 0.0, 0.0, 0.903]"
"['Ks']:[['Qh']]:[0, 0],[4]","[0.5, 0.5]"
"['Ah']:[['Qh']]:[2, 3, 1],[]","[0.0, 1.0]"
"['Ks']:[['Qh']]:[2, 3, 1],[0]","[0.0, 1.0]"
"['Ks']:[['Qh']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['Ks']:[]:[2, 3, 2],[]","[0.0, 1.0]"
"['Ah']:[['Qh']]:[3, 3],[]","[0.0, 1.0]"
"['Ah']:[['Qh']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ks']:[['Qh']]:[3, 3],[1]","[1.0, 0.0]"
"['Qs']:[['Ah']]:[3, 3],[]","[0.0, 1.0]"
"['As']:[['Ah']]:[3, 3],[0]","[0.0, 1.0]"
"['Qs']:[['Ah']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['As']:[['Kh']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Ks']:[['Kh']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['As']:[['Kh']]:[0, 2, 2],[0, 2]","[0.0, 1.0]"
"['Ks']:[['Kh']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['As']:[['Kh']]:[0, 2, 2],[1, 2]","[0.0, 1.0]"
"['Ks']:[['Kh']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['As']:[['Kh']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ks']:[['Kh']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['As']:[['Kh']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ks']:[['Kh']]:[2, 2],[0]","[0.0, 0.286, 0.714]"
"['As']:[['Kh']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ks']:[['Kh']]:[2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Ks']:[['Kh']]:[2, 2],[1]","[0.0, 0.4, 0.6]"
"['Ks']:[['Kh']]:[2, 2],[2]","[0.0, 1.0]"
"['As']:[['Kh']]:[3, 3],[]","[1.0, 0.0]"
"['Ks']:[['Kh']]:[3, 3],[0]","[0.5, 0.5]"
"['As']:[['Qh']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Kh']:[['Qh']]:[2, 2],[2]","[1.0, 0.0]"
"['Kh']:[['Qh']]:[2, 2],[1]","[0.0, 0.344, 0.656]"
"['As']:[['Qh']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['As']:[]:[2, 3],[]","[0.0, 1.0, 0.0]"
"['As']:[]:[2, 4],[]","[0.0, 1.0]"
"['Ah']:[['As']]:[0, 3, 3],[0, 1]","[1.0, 0.0]"
"['Ah']:[['As']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ah']:[['Qh']]:[2, 2],[]","[0.572, 0.0, 0.428]"
"['Qs']:[['Qh']]:[2, 2],[0]","[0.0, 0.0, 1.0]"
"['Ah']:[['Qh']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ah']:[['Qh']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[2, 2],[1]","[0.0, 0.275, 0.725]"
"['Ah']:[['Qh']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['Ah']:[]:[2, 4],[]","[0.0, 1.0]"
"['Kh']:[['Ks']]:[3, 3],[0]","[0.5, 0.5]"
"['Kh']:[['Ks']]:[3, 3],[1]","[0.0, 1.0]"
"['Qh']:[['As']]:[3, 3],[]","[0.0, 1.0]"
"['Kh']:[['As']]:[3, 3],[0]","[0.0, 1.0]"
"['Qh']:[['Kh']]:[0, 0],[]","[0.0, 0.0, 1.0, 0.0]"
"['As']:[['Kh']]:[0, 0],[3]","[0.0, 0.333, 0.0, 0.333, 0.333]"
"['Qh']:[['Kh']]:[0, 0],[3, 4]","[0.0, 1.0]"
"['As']:[['Kh']]:[0, 2, 2],[2]","[0.0, 1.0]"
